URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fluminense/figueirense/1645085/live,Fluminense,Figueirense,2014,1,3, , 55% , 45% ,8,1,1, ,1,1,5,3,58,29,37,14,1,3,1, ,,, ,2,,,15,11,14,16,4,11,23,17,8,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-mg/corinthians/1645089/live,Atletico Mg,Corinthians,2014,1,,, 53% , 47% ,12,9,,,1,1,2,7,49,49,34,34,1,2,,,,,,,,,15,13,15,16,13,3,13,18,6,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/bahia/cruzeiro/1645090/live,Bahia,Cruzeiro,2014,1,1,2, 46% , 54% ,7,3, ,1,2,1,5,9,48,45,24,24, ,4,1, ,,,4,4,,,15,19,23,15,10,8,20,15,7,7
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/sao-paulo/botafogo/1645086/live,Sao Paulo,Botafogo,2014,1,3, , 56% , 44% ,5,5,,,1, ,2,3,49,44,27,27,7,1,,,,,1,2,,,18,23,24,25,7,4,15,21,4,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/goias/1645084/live,Flamengo,Goias,2014,1,,, 64% , 36% ,4,6,,,3,4,2,3,60,49,44,24,5,2,,,,,4,2,,,13,14,16,18,5,8,22,13,10,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/chapecoense/coritiba/1645093/live,Chapecoense,Coritiba,2014,1,,, 57% , 43% ,4,7,,,4,3,3,6,62,61,19,26,2,2,,,,, ,1,,,27,24,26,29,10,4,30,28,4,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-pr/gremio/1645088/live,Atletico Pr,Gremio,2014,1,1, , 40% , 60% ,1,5,,,1,3,3,10,59,80,31,55,4,1,,,,,1,2,,,18,15,17,22,14,8,14,26,1,10
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/santos/sport/1645087/live,Santos,Sport,2014,1,1,1, 49% , 51% ,7,3,1, ,1,1,12,5,69,63,47,31,3,2,,,,,1,3,,,23,22,24,26,8,18,18,22,9,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/criciuma/palmeiras/1645092/live,Criciuma,Palmeiras,2014,1,1,2, 44% , 56% ,7,5,,,2,2,4,6,67,71,36,42,2,1,,,,,3,5,,,12,15,16,14,11,10,33,26,7,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/coritiba/santos/1645098/live,Coritiba,Santos,2014,2,,, 53% , 47% ,7,1,2, ,1, ,6,4,74,71,40,35,2,2,,,,,3,4,,,15,24,26,17,4,11,16,17,13,7
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/fluminense/1645097/live,Palmeiras,Fluminense,2014,2, ,1, 50% , 50% ,2,7,,,2,2,4,8,69,68,30,30,2,3,,,,,1,2,,,15,11,14,17,10,7,24,30,4,10
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/botafogo/internacional/1645094/live,Botafogo,Internacional,2014,2,2,2, 47% , 53% ,2,2,,, ,1,12,5,60,37,31,25,2,1,,,,,2,4,1, ,19,22,23,23,6,18,36,13,4,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/internacional/vitoria/1645091/live,Internacional,Vitoria,2014,1,1, , 54% , 46% ,3,2,1, ,1, ,7,2,77,67,44,33, ,2,,,,,2,3,,,16,17,19,16,6,16,28,16,7,3
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/vitoria/atletico-pr/1645100/live,Vitoria,Atletico Pr,2014,2,2,2, 49% , 51% ,4,7,1, , ,1,7,4,44,41,31,29,3,3,,,,,1,1,,,13,16,21,16,9,10,18,35,4,9
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/cruzeiro/sao-paulo/1645099/live,Cruzeiro,Sao Paulo,2014,2,1,1, 42% , 58% ,6,5,,,3,1,5,5,43,42,20,19, ,3,,,,,2,1,,,22,13,16,22,8,7,13,28,1,2
