Flamengo;Atletico Mg;2017;1; 1 ; 1 ; 48% ; 52% ; 2 ; 3 ;;;;; ; 3 ; 6 ; 7 ;;; 71 ; 61 ; 46 ; 36 ; 3 ; 1 ;;;;; 2 ; 2 ;;; 7 ; 11 ; 12 ; 10 ; 10 ; 12 ; 18 ; 25 ; 4 ; 6 
Ponte Preta;Sport;2017;1; 4 ; ; 50% ; 50% ; 2 ; ;;;;;;; 4 ; 1 ;;; 71 ; 60 ; 40 ; 27 ; 2 ; 1 ; 1 ; ;;; ; 2 ;;; 12 ; 17 ; 18 ; 14 ; 6 ; 5 ; 20 ; 31 ; 4 ; 2 
Corinthians;Chapecoense;2017;1; 1 ; 1 ; 60% ; 40% ;;;;; ; 2 ; ; 4 ; 3 ; 6 ;;; 63 ; 59 ; 35 ; 38 ; 1 ; 3 ;;;;; 2 ; 2 ;;; 10 ; 13 ; 16 ; 11 ; 10 ; 4 ; 24 ; 24 ; 1 ; 7 
Cruzeiro;Sao Paulo;2017;1; 1 ; ; 43% ; 57% ; 4 ; 4 ;;;;; 1 ; 3 ; 2 ; 8 ;;; 49 ; 51 ; 26 ; 33 ; ; 1 ;;;;; ; 1 ;;; 10 ; 12 ; 13 ; 10 ; 10 ; 2 ; 23 ; 31 ; 5 ; 5 
Fluminense;Santos;2017;1; 3 ; 2 ; 44% ; 56% ; 3 ; 5 ;;; 1 ; 2 ; 1 ; 2 ; 1 ; 9 ;;; 42 ; 44 ; 27 ; 32 ; 2 ; 2 ; 1 ; ;;; 1 ; 5 ;;; 15 ; 17 ; 19 ; 17 ; 10 ; 5 ; 6 ; 21 ; 5 ; 8 
Bahia;Atletico Pr;2017;1; 6 ; 2 ; 51% ; 49% ; 5 ; 2 ;;;;; 2 ; ; 10 ; 3 ;;; 53 ; 41 ; 41 ; 16 ; 4 ; 1 ;;; ; 1 ; ; 1 ;;; 11 ; 11 ; 12 ; 15 ; 4 ; 10 ; 20 ; 20 ; 14 ; 3 
Palmeiras;Vasco;2017;1; 4 ; ; 55% ; 45% ; 6 ; 5 ;;; ; 1 ; ; 1 ; 4 ; 7 ;;; 43 ; 49 ; 35 ; 34 ; 6 ; 2 ; 2 ; ;;; ; 2 ;;; 17 ; 14 ; 16 ; 23 ; 11 ; 6 ; 12 ; 22 ; 3 ; 2 
Coritiba;Atletico Go;2017;1; 4 ; 1 ; 59% ; 41% ; 3 ; 8 ;;; ; 1 ; 2 ; 1 ; 10 ; 7 ;;; 64 ; 52 ; 33 ; 34 ; 1 ; 1 ;;;;; 1 ; 2 ;;; 17 ; 13 ; 14 ; 18 ; 9 ; 12 ; 15 ; 18 ; 6 ; 6 
Santos;Coritiba;2017;2; 1 ; ; 41% ; 59% ; 3 ; 11 ;;;;; ; 4 ; 6 ; 9 ;;; 59 ; 68 ; 38 ; 46 ; 1 ; 2 ; ; 1 ;;; 6 ; 4 ;;; 22 ; 17 ; 19 ; 24 ; 12 ; 7 ; 24 ; 22 ; 3 ; 4 
Chapecoense;Palmeiras;2017;2; 1 ; ; 41% ; 59% ; 3 ; 1 ;;;;; 1 ; 3 ; 4 ; ;;; 73 ; 73 ; 23 ; 21 ; 1 ; 1 ;;;;; 1 ; 1 ;;; 16 ; 11 ; 12 ; 17 ; 4 ; 5 ; 38 ; 24 ; 3 ; 4 
